AURA_BOOST_DRAIN_PER	Absorción adicional +%d%%
COMB_NOT_FULL_BOOK	Non, nous n'arriverons pas à nous mettre d'accord. Comme je vous l'ai déjà expliqué, l'échange se fera uniquement contre 10 livres.
COMB_NOT_ITEM_IN_INVENTORY	Vous ne pouvez pas utiliser un objet équipé.
COMB_NOT_MEDIUM_ITEM	Cet objet ne peut pas être utilisé.
COMB_WILL_REMOVE_MATERIAL	Si l'opération réussit, l'original est détruit.
CREATE_ERROR_GM_NAME	Vous n'êtes pas autorisé à utiliser ,GM dans le nom de votre personnage.
CREATE_ERROR_INSULT_NAME	Ce nom n'est pas valide.
CREATE_ERROR_LIMIT_LEVEL	Votre personnage doit être de niveau 80 minimum.
CREATE_ERROR_TIME_LIMIT	Vous pouvez créer un personnage toutes les 30 secondes.
CREATE_ERROR_WRONG_STRING	Ce nom de personnage n'est pas autorisé.
CREATE_EXIST_SAME_NAME	Un autre personnage porte déjà ce nom.
CREATE_FAILURE	Vous ne pouvez pas créer ce personnage.
CREATE_FULL	Vous ne pouvez pas créer de personnage supplémentaire.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Entrez le nom
CREATE_PLUS_STAT	Il y a encore des points de caractéristiques restants.
CUBE_CATEGORY_ACCESSORY	Bijoux
CUBE_CATEGORY_ARMOR	Armure
CUBE_CATEGORY_ARMOR_GLOVE	Gants
CUBE_CATEGORY_BELT	Ceintures
CUBE_CATEGORY_ETC	Etc.
CUBE_CATEGORY_EVENT	Évènement
CUBE_CATEGORY_JOB	Classe
CUBE_CATEGORY_PET	Familier
CUBE_CATEGORY_SETADD_ARMOR	Fabriquer une armure de lot
CUBE_CATEGORY_SETADD_HELMET	Fabriquer un casque de lot
CUBE_CATEGORY_SETADD_WEAPON	Fabriquer une arme de lot
CUBE_CATEGORY_WEAPON	Arme
CUBE_CATEGOR_SKILL_BOOK	Livre de compétence
CUBE_LIST_TEXT_ITEM_INFO	%s (%d %%)
CUBE_LIST_TEXT_MAKE_QUANTITY	[%d]
CUBE_MAKE_CONFIRM_QUESTION_1	Au moins un des objets utilisés est particulièrement précieux (il offre plus de %d bonus).
CUBE_MAKE_CONFIRM_QUESTION_2	Êtes-vous sûr de vouloir continuer ?
CUBE_NOT_ENOUGH_GEM	Vous n'avez pas assez de Gayas.
CUBE_NOT_ENOUGH_GOLD	Vous n'avez pas assez de Yangs pour la fabrication.
CUBE_NOT_ENOUGH_MATERIAL	Pas assez de matériel pour la fabrication.
CUBE_PLEASE_SELECT	Aucun objet n'a été sélectionné.
CUBE_TOOLTIP_PASSIVE_JOB_LEFT_TIME	Temps restant : {0} à {1} heures
CZ_REWARD_QUESTION_COMPLETE	Souhaitez-vous échanger ce champ ?
CZ_REWARD_TOOLTIP_10GAN	Insignes du zodiaque
CZ_REWARD_TOOLTIP_10GAN_COUNT	Nombre dans l'inventaire
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Nombre requis
CZ_REWARD_TOOLTIP_12ZI	Insignes de gardien
CZ_REWARD_TOOLTIP_12ZI_COUNT	Nombre dans l'inventaire
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Nombre requis
CZ_REWARD_TOOLTIP_ALL_BOX	Trésor d'étoile
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Cliquez ici pour recevoir votre trésor d'étoile en récompense.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Cliquez ici pour recevoir votre trésor d'aventurine en récompense.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Cliquez ici pour recevoir votre trésor d'auréoline en récompense.
CZ_REWARD_TOOLTIP_COMPLETABLE	Utiliser
CZ_REWARD_TOOLTIP_GREEN_BOX	Trésor d'aventurine
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Trésors d'aventurine échangés : %d
CZ_REWARD_TOOLTIP_WEEKLY	Jour
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Vendredi
CZ_REWARD_TOOLTIP_WEEKLY_MON	Lundi
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Samedi
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Samedi/dimanche
CZ_REWARD_TOOLTIP_WEEKLY_THU	Jeudi
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Mardi
CZ_REWARD_TOOLTIP_WEEKLY_WED	Mercredi
CZ_REWARD_TOOLTIP_YELLOW_BOX	Trésor d'auréoline
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Trésors d'auréoline échangés : %d
DAY	j
DETAILS_1	Force c. demi-hum.
DETAILS_2	Rés. c. demi-humains
DETAILS_3	Force c. orcs
DETAILS_4	Force c. m-vivants
DETAILS_5	Force c. monstres
DETAILS_6	Force c. m. zodiaque
DETAILS_7	Force c. animaux
DETAILS_8	Force c. mystiques
DETAILS_9	Force c. diable
DETAILS_10	Force c. m. désert
DETAILS_11	Force c. insectes
DETAILS_12	Valeur d'attaque
DETAILS_13	Valeur de défense
DETAILS_14	Dégâts moyens
DETAILS_15	Rés. dégâts moyens
DETAILS_16	Dégâts de compétence
DETAILS_17	Résist. dégâts compétence
DETAILS_18	Attaque de mêlée/mag
DETAILS_19	Attaque magique
DETAILS_20	Chance de coup crit.
DETAILS_21	Coup perçant
DETAILS_22	Rés. coup critique
DETAILS_23	Rés. coup perçant
DETAILS_24	Résistance foudre
DETAILS_25	Résistance glace
DETAILS_26	Rés. obscurité
DETAILS_27	Résistance feu
DETAILS_28	Résistance vent
DETAILS_29	Résistance terre
DETAILS_30	Pouvoir de la foudre
DETAILS_31	Pouvoir de la glace
DETAILS_32	Pouvoir des ténèbres
DETAILS_33	Pouvoir du feu
DETAILS_34	Pouvoir du vent
DETAILS_35	Pouvoir de la terre
DETAILS_36	Force c. Guerriers
DETAILS_37	Force c. Ninjas
DETAILS_38	Force c. Suras
DETAILS_39	Force c. Chamanes
DETAILS_40	Force c. Lycans
DETAILS_41	Déf. c. Guerriers
DETAILS_42	Déf. c. Ninjas
DETAILS_43	Déf. c. Suras
DETAILS_44	Déf. c. Chamanes
DETAILS_45	Déf. c. Lycans
DETAILS_46	Défense c. épée
DETAILS_47	Déf. c. deux mains
DETAILS_48	Défense c. dague
DDETAILS_49	Défense c. griffes
DETAILS_50	Défense c. gong
DETAILS_51	Défense c. éventail
DETAILS_52	Défense c. flèches
DETAILS_53	Chance d'étourdir
DETAILS_54	Chance de ralentir
DETAILS_55	Chance d'empoisonner
DETAILS_56	Résistance poison
DETAILS_57	Attaque saignante
DETAILS_58	Rés. att. saignante
DETAILS_59	Vol de vie
DETAILS_60	Vol de PM
DETAILS_61	Restauration de PV
DETAILS_62	Restauration de PM
DETAILS_63	Bloquer une attaque
DETAILS_64	Éviter des flèches
DETAILS_65	R. d'att. de mêlée
DETAILS_66	Réc. de PV en tuant
DETAILS_67	Réc. de PM en tuant
DETAILS_68	Double d'EXP
DETAILS_69	Double de Yangs
DETAILS_70	Chance de butin
DETAILS_71	Valeur d'attaque
DETAILS_72	Défense
DETAILS_73	EXP
DETAILS_74	Chance de butin
DETAILS_75	Double de Yangs
DETAILS_76	Résistance magique
DETAILS_77	Anti-magie
DETAILS_80	Fort contre les pierres Metin
DETAILS_81	Fuerza c. jefes
DETAILS_ATTBONUS_BELL	Rupture de gong
DETAILS_ATTBONUS_BOW	Rupture de flèche
DETAILS_ATTBONUS_CLAW	Rupture de griffe
DETAILS_ATTBONUS_DAGGER	Rupture de dague
DETAILS_ATTBONUS_FAN	Rupture d'éventail
DETAILS_ATTBONUS_SWORD	Rupture d'épée
DETAILS_ATTBONUS_TWOHAND	Rupture d'épée à deux mains
DETAILS_CATE_1	Dégâts/Défense
DETAILS_CATE_2	Bonus élémentaires
DETAILS_CATE_3	Bonus de classe
DETAILS_CATE_4	Bonus d'arme
DETAILS_CATE_5	Autres bonus
DETAILS_CATE_6	Bonus spéciaux
DETAILS_RESIST_MOUNT_FALL	Résistance aux chutes
DETAILS_TITLE	Détails
DETAILS_TOOLTIP_1	Fuerza contra mediohumanos: provoca más daños a mediohumanos.
DETAILS_TOOLTIP_10	Fuerte contra monstruos del desierto: causa más daño a monstruos del desierto.
DETAILS_TOOLTIP_11	Fuerte contra insectos: causa más daño a insectos.
DETAILS_TOOLTIP_12	Aumenta tu valor de ataque.
DETAILS_TOOLTIP_13	Aumenta tu valor de defensa.
DETAILS_TOOLTIP_14	Aumenta el daño medio que provocas en tus enemigos al atacar.
DETAILS_TOOLTIP_15	Resistencia contra daño medio: reduce el daño que sufres con un ataque.
DETAILS_TOOLTIP_16	Aumenta el daño que provoca una habilidad.
DETAILS_TOOLTIP_17	Resistencia contra daño de habilidad: reduce el daño que te provoca una habilidad.
DETAILS_TOOLTIP_18	Aumentan tanto el valor de ataque físico como el mágico.
DETAILS_TOOLTIP_19	Aumenta el daño que provocas a los enemigos con un ataque mágico.
DETAILS_TOOLTIP_2	Resistencia contra mediohumanos: reduce el daño que se sufre de mediohumanos.
DETAILS_TOOLTIP_20	Aumenta la probabilidad de lograr un golpe crítico.
DETAILS_TOOLTIP_21	Probabilidad de golpe penetrante: aumenta la probabilidad de provocar un golpe penetrante.
DETAILS_TOOLTIP_22	Resistencia contra golpe crítico: reduce el daño que provoca un golpe crítico.
DETAILS_TOOLTIP_23	Resistencia contra golpe penetrante: reduce el daño que provoca un golpe penetrante.
DETAILS_TOOLTIP_24	Reduce el daño que se sufre de determinados monstruos.
DETAILS_TOOLTIP_25	Reduce el daño que se sufre de determinados monstruos.
DETAILS_TOOLTIP_26	Resistencia contra la oscuridad: reduce el daño que se sufre de determinados monstruos.
DETAILS_TOOLTIP_27	Reduce el daño que se sufre de determinados monstruos.
DETAILS_TOOLTIP_28	Reduce el daño que se sufre de determinados monstruos.
DETAILS_TOOLTIP_29	Reduce el daño que se sufre de determinados monstruos.
DETAILS_TOOLTIP_3	Fuerza contra orcos: causa más daño a orcos.
DETAILS_TOOLTIP_30	Aumenta el daño que causas gracias al poder del relámpago.
DETAILS_TOOLTIP_31	Aumenta el daño que causas gracias al poder del hielo.
DETAILS_TOOLTIP_32	Aumenta el daño que causas gracias al poder de la oscuridad.
DETAILS_TOOLTIP_33	Aumenta el daño que causas gracias al poder del fuego.
DETAILS_TOOLTIP_34	Aumenta el daño que causas gracias al poder del viento.
DETAILS_TOOLTIP_35	Aumenta el daño que causas gracias al poder de la tierra.
