ACCEPT	Aceptar
CHANGE_PASSWORD_CONFIRM	Repetir contraseña
CHANGE_PASSWORD_NEW	Nueva Contraseña
CHANGE_PASSWORD_OLD	Vieja Contraseña
CHANGE_PASSWORD_TITLE	Cambio de Contraseña
CHARACTER_ACTION	Acción
CHARACTER_EMOTICON	Emoción
CHARACTER_MAIN	Carácter
CHARACTER_MUTUAL_ACTION	Acción Mútua
CHARACTER_NORMAL_ACTION	Acción Normal
CHARACTER_QUEST	Misiones
CHARACTER_SKILL	Habilidades
CHAT_FILTER	Filtro del chat
CHAT_FILTER_DICE	Dado
CLOSE	Cerrar
COMB_APPEARANCE	Receptor
COMB_ATTRIBUTE	Original
COMB_MAIN	Receptor
COMB_MATERIAL	Original
COMB_SKILLBOOK_TILE	Canjear libros
COMB_TITLE	
COSTUME_TITLE	Atuendos
COSTUME_WINDOW_TITLE	Atuendos
CREATE_ATT_GRADE	STR
CREATE_CREATE	Crear
CREATE_DEX_GRADE	DEX
CREATE_HP	HP
CREATE_LAST_POINT	Puntos
CREATE_MAN	Hombre
CREATE_NAME	Nombre
CREATE_NEXT	Siguiente
CREATE_PREV	Atrás
CREATE_SEX	Género
CREATE_SHAPE	Forma
CREATE_SP	INT
CREATE_STAT_RESET	Resetear
CREATE_WOMAN	Mujer
CUBE_INFO_TITLE	Manual de refinamiento
CUBE_RENEWAL_BELT_IMPROVE	Aumentar proba.
CUBE_RENEWAL_TITLE	Refinamiento
CUBE_REQUIRE_MATERIAL	Materiales necesarios
CUBE_REQUIRE_MATERIAL_OR	o
CUBE_TITLE	Ventana de refinamiento
CURRENT_POINT	Puntuación actual: %s
DO_REFINE	Refinar
DRAGONSOUL_ACTIVATE	Activar
DRAGONSOUL_CHANGE_ATTR_WINDOW_TITLE	Modificar bonificación de Piedras dragón míticas
DRAGONSOUL_PAGE_BUTTON_1	En bruto
DRAGONSOUL_PAGE_BUTTON_2	Afilado
DRAGONSOUL_PAGE_BUTTON_3	Raro
DRAGONSOUL_PAGE_BUTTON_4	Antiguo
DRAGONSOUL_PAGE_BUTTON_5	Legendario
DRAGONSOUL_PAGE_BUTTON_6	Mítico
DRAGONSOUL_REFINE_WINDOW_TITLE	Ventana de refinamiento
DRAGONSOUL_TAP_TITLE_1	Diamante de dragón
DRAGONSOUL_TAP_TITLE_2	Rubí de dragón
DRAGONSOUL_TAP_TITLE_3	Jade de dragón
DRAGONSOUL_TAP_TITLE_4	Zafiro de dragón
DRAGONSOUL_TAP_TITLE_5	Granate de dragón
DRAGONSOUL_TAP_TITLE_6	Ónice de dragón
DRAGONSOUL_TITLE	Alquimia de Piedras dragón
DUNGEON_INFO_TITLE	Información de Mazmorras
DUNGEON_INFO_PREVIEW_ZOOM_IN	Acercar
DUNGEON_INFO_PREVIEW_ZOOM_OUT	Alejar
DUNGEON_RANKING_TYPE_TOOL_TIP_01	Clasificación Final
DUNGEON_RANKING_TYPE_TOOL_TIP_02	Clasificación de tiempo
DUNGEON_RANKING_TYPE_TOOL_TIP_03	Clasificación de daño
DUNGEON_INFO_ITEMS	Objetos
DUNGEON_INFO_MY_RESULTS	Mis resultados
DUNGEON_INFO_GO_TO_ENTRANCE_TOOL_TIP	Teletransportarse
DUNGEON_INFO_DROPS_TOOL_TIP	Ver drop
DUNGEON_RANKING	Clasificación de Mazmorras
DUNGEON_RANKING_POSITION	Posición
DUNGEON_RANKING_NAME	Nombre
DUNGEON_RANKING_LEVEL	Nivel
DUNGEON_RANKING_POINTS	Puntos
EMPIRE_EXIT	Salir
EMPIRE_NEXT	Siguiente
EMPIRE_PREV	Atrás
EMPIRE_SELECT	Elegir
ENTER_BATTLE_FIELD	Acceder
EVENT_ALARM_TITLE	Vista general de eventos
EVENT_NAME_TITLE	Nombre
EVENT_REWARD_TITLE	Recompensa
EXCHANGE_ACCEPT	Vale
EXCHANGE_TITLE	Comerciar
EXIT_BATTLE_FIELD	¿De verdad quieres abandonar la zona de combate?
EXIT_BATTLE_FIELD_ON_DEAD	¿Quieres abandonar la zona de combate con %d punto(s)?
EXTENDET_BATTLE_PASS_TITLE	Pase de batalla
EXTENDET_BATTLE_PASS_RANK_ICON_RANK	Top ranking
EXTENDET_BATTLE_PASS_RANK_ICON_NAME	Nombre
EXTENDET_BATTLE_PASS_RANK_ICON_TIME	Tiempo
EXTENDET_BATTLE_PASS_NO_PLANNED_NORMAL_BATTLEPASS	Ahora no hay pase de batalla.
EXTENDET_BATTLE_PASS_PLANNED_NEXT_NORMAL_BATTLEPASS	¡Se está haciendo un pase de batalla!
EXTENDET_BATTLE_PASS_TIME_TO_NEXT_NORMAL_BATTLEPASS	Tiempo para el pase: %s
EXTENDET_BATTLE_PASS_NO_PLANNED_PREMIUM_BATTLEPASS	Ahora no hay pase de batalla premium.
EXTENDET_BATTLE_PASS_PLANNED_NEXT_PREMIUM_BATTLEPASS	¡Se está haciendo un pase de batalla premium!
EXTENDET_BATTLE_PASS_TIME_TO_NEXT_PREMIUM_BATTLEPASS	Tiempo para el pase premium: %s
EXTENDET_BATTLE_PASS_NO_PLANNED_EVENT_BATTLEPASS	Ahora no hay pase de batalla de evento.
EXTENDET_BATTLE_PASS_PLANNED_NEXT_EVENT_BATTLEPASS	¡Se está haciendo un pase de batalla!
EXTENDET_BATTLE_PASS_TIME_TO_NEXT_EVENT_BATTLEPASS	Tiempo para el pase de evento: %s
EXTENDET_BATTLE_PASS_SEASON_TITLE	Información del pase
EXTENDET_BATTLE_PASS_SEASON_NAME	Temporada: %s
EXTENDET_BATTLE_PASS_SEASON_TOTAL_MISSIONS	Misiones de temporada: %d
EXTENDET_BATTLE_PASS_SEASON_CURRENT_MISSIONS	Misiones completadas: %d / %d
EXTENDET_BATTLE_PASS_SEASON_DATE_FROM	De
EXTENDET_BATTLE_PASS_SEASON_DATE_TO	A
EXTENDET_BATTLE_PASS_SEASON_REST_TIME	Tiempo restante: %s
EXTENDET_BATTLE_PASS_SEASON_PROGRESS	Progreso de todas las misiones.
EXTENDET_BATTLE_PASS_MISSION_MISSION_NAME	Nombre de la misión
EXTENDET_BATTLE_PASS_MISSION_NAME	Nombre de la misión
EXTENDET_BATTLE_PASS_MISSION_STATUS	Estado
EXTENDET_BATTLE_PASS_MISSION_INFO	Información
EXTENDET_BATTLE_PASS_MISSION_STATUS_IN_PROGRESS	|cfffeff7d|H|hAún no cumplido|h|r
EXTENDET_BATTLE_PASS_MISSION_STATUS_FINISH	|cff82ff7d|H|hTerminado|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION	Información:
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_MONSTER	Monstruo: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_MINLEVEL	Lv mín.: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_ITEM	Ítem: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_ORE	Veta: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_FISH	Pez: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_MAPNAME	Mapa: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_GUILDWARTYPE	Tipo de guerra de gr.: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_PET_MINTYPE	Tipo de pet mín.: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_DUNGEON	Mazmorra: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_MINIGAME	Minijuego: |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_COUNT	Restante: |cfffeff7d|H|h%s|h|r / |cff82ff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_COUNT_GOLD	Restante: |cfffeff7d|H|h%s|h|r
EXTENDET_BATTLE_PASS_MISSION_INFORMATION_PERCENT	Progreso |cfffeff7d|H|h%.2f%%|h|r
EXTENDET_BATTLE_PASS_DESCRIPTION	Descripción:
EXTENDET_BATTLE_PASS_MISSION_COMPLEDET	Misión completada
EXTENDET_BATTLE_PASS_NONE_COND_TITLE_MOB	Monstruo
EXTENDET_BATTLE_PASS_NONE_COND_TITLE_ITEM	Objetos
EXTENDET_BATTLE_PASS_NONE_COND_TITLE_FISH	Pescados
EXTENDET_BATTLE_PASS_NONE_COND_TITLE_DUNGEON	Mazmorras
EXTENDET_BATTLE_PASS_NONE_COND_TITLE_MINIGAME	Minijuegos
EXTENDET_BATTLE_PASS_TYPENAME_1	Matar %s
EXTENDET_BATTLE_PASS_TYPENAME_1_DESC_1	Matar x%s %s.
EXTENDET_BATTLE_PASS_TYPENAME_1_DESC_2	Matar x%s monstruos.
EXTENDET_BATTLE_PASS_TYPENAME_2	Matar %s jugadores
EXTENDET_BATTLE_PASS_TYPENAME_2_DESC_1	Matar %s jugadores. No importa le reino. ¡Los jugadores deben ser al menos el nivel %s!
EXTENDET_BATTLE_PASS_TYPENAME_2_DESC_2	Matar %s jugadores. No importa le reino. ¡No hay límite de nivel!
EXTENDET_BATTLE_PASS_TYPENAME_3	Daño a monstruos
EXTENDET_BATTLE_PASS_TYPENAME_3_DESC_1	Acumula un daño de %s a %s.
EXTENDET_BATTLE_PASS_TYPENAME_3_DESC_2	Acumula un daño de %s. Cuenta cualquier monstruo.
EXTENDET_BATTLE_PASS_TYPENAME_4	Daño a jugadores
EXTENDET_BATTLE_PASS_TYPENAME_4_DESC_1	Acumula %s de daño total a jugadores de nivel mín. %d. No importa le reino.
EXTENDET_BATTLE_PASS_TYPENAME_4_DESC_2	Acumula %s de daño total a jugadores. No importa le reino.
EXTENDET_BATTLE_PASS_TYPENAME_5	Usar %s
EXTENDET_BATTLE_PASS_TYPENAME_5_DESC_1	Debes usar o abrir x%s %s para completar esta misión.
EXTENDET_BATTLE_PASS_TYPENAME_5_DESC_2	Debes usar o abrir x%s objetos cualquiera para completar esta misión.
EXTENDET_BATTLE_PASS_TYPENAME_6	Vender %s
EXTENDET_BATTLE_PASS_TYPENAME_6_DESC_1	Vende x%s %s a NPC's para completar esta misión.
EXTENDET_BATTLE_PASS_TYPENAME_6_DESC_2	Vende x%s objetos a NPC's para completar esta misión.
EXTENDET_BATTLE_PASS_TYPENAME_7	Crear %s
EXTENDET_BATTLE_PASS_TYPENAME_7_DESC_1	Crea/fabrica x%s %s para completar esta misión.
EXTENDET_BATTLE_PASS_TYPENAME_7_DESC_2	Crea/Fabrica x%s objetos cualquiera para completar esta misión.
EXTENDET_BATTLE_PASS_TYPENAME_8	Mejorar %s
EXTENDET_BATTLE_PASS_TYPENAME_8_DESC_1	Mejora/refina x%s %s al siguiente nivel para completar esta misión.
EXTENDET_BATTLE_PASS_TYPENAME_8_DESC_2	Mejora el objeto %s al siguiente nivel para completar esta misión.
EXTENDET_BATTLE_PASS_TYPENAME_9	Destruye %s
EXTENDET_BATTLE_PASS_TYPENAME_9_DESC_1	Destruye x%s %s para completar esta misión.
EXTENDET_BATTLE_PASS_TYPENAME_9_DESC_2	Destruye %s para completar esta misión.
EXTENDET_BATTLE_PASS_TYPENAME_10_1	Recoge %s
EXTENDET_BATTLE_PASS_TYPENAME_10_2	Baue %s ab
EXTENDET_BATTLE_PASS_TYPENAME_10_1_DESC_1	Erbeute %sx %s von Monstern um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_10_2_DESC_1	Baue %sx %s ab um diese Mission zu erfüllen
EXTENDET_BATTLE_PASS_TYPENAME_10_DESC_2	Erbeute %s verschiedene Gegenstände um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_11	Pesca %s
EXTENDET_BATTLE_PASS_TYPENAME_11_DESC_1	Ziehe %sx %s aus dem Wasser um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_11_DESC_2	Ziehe %sx einen beliebigen Fisch aus dem Wasser um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_12	Asa %s
EXTENDET_BATTLE_PASS_TYPENAME_12_DESC_1	Grille %sx %s am Lagerfeuer um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_12_DESC_2	Grille %sx einen beliebigen Fisch am Lagerfeuer um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_13	Mata %s
EXTENDET_BATTLE_PASS_TYPENAME_13_DESC_1	Töte %sx %s um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_13_DESC_2	Töte %s mal einen beliebigen Fisch um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_14	Recoge %s EXP
EXTENDET_BATTLE_PASS_TYPENAME_14_DESC_1	Sammle %s EXP von %s um diese Mission zu erfüllen. Es zählt die Basis EXP (Levelunabhängig)!
EXTENDET_BATTLE_PASS_TYPENAME_14_DESC_2	Sammle %s EXP von beliebigen Monstern um diese Mission zu erfüllen. Es zählt die Basis EXP (Levelunabhängig)!
EXTENDET_BATTLE_PASS_TYPENAME_15	Recoge %s Yang
EXTENDET_BATTLE_PASS_TYPENAME_15_DESC_1	Sammle %s Yang von Monstern auf der Map %s um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_15_DESC_2	Sammle %s Yang von Monstern um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_16	Pelea en guerras de gremio
EXTENDET_BATTLE_PASS_TYPENAME_16_DESC_1	Beende %sx einen Gildenkrieg des Typs %s.
EXTENDET_BATTLE_PASS_TYPENAME_16_DESC_2	Beende %sx einen Gildenkrieg eines Beliebigen Typs.
EXTENDET_BATTLE_PASS_TYPENAME_17	Donar EXP al gremio
EXTENDET_BATTLE_PASS_TYPENAME_17_DESC_1	Spende %s EXP in eine Gilde.
EXTENDET_BATTLE_PASS_TYPENAME_18	Fabricar %s Gaya
EXTENDET_BATTLE_PASS_TYPENAME_18_DESC_1	Crafte dir %s Gaya.
EXTENDET_BATTLE_PASS_TYPENAME_19	Compra en la Tienda Gaya
EXTENDET_BATTLE_PASS_TYPENAME_19_DESC_1	Kaufe im Gaya-Shop Gegenstände im Gesamtwert von %s Gaya.
EXTENDET_BATTLE_PASS_TYPENAME_20	Encanta una mascota %s veces
EXTENDET_BATTLE_PASS_TYPENAME_20_DESC_1	Verzaubere ein Pet %sx. Das Pet muss dabei mindestens Pettyp %s erreichen.
EXTENDET_BATTLE_PASS_TYPENAME_20_DESC_2	Verzaubere ein Pet %sx.
EXTENDET_BATTLE_PASS_TYPENAME_21	%s
EXTENDET_BATTLE_PASS_TYPENAME_21_DESC_1	%s: Beende %sx diesen Dungeon um diese Mission zu erfüllen.
EXTENDET_BATTLE_PASS_TYPENAME_21_DESC_2	Beende %sx einen beliebigen Dungeon.
EXTENDET_BATTLE_PASS_TYPENAME_22	Juega %s
EXTENDET_BATTLE_PASS_TYPENAME_22_DESC_1	Spiele und Beende %sx das Mini-Game %s.
EXTENDET_BATTLE_PASS_TYPENAME_22_DESC_2	Spiele und Beende %sx ein Beliebiges Mini-Game.
EXTENDET_BATTLE_PASS_MAP_NAME_BY_IDX_64	Valle Seungryong
EXTENDET_BATTLE_PASS_MAP_NAME_BY_IDX_65	Templo Hwang
EXTENDET_BATTLE_PASS_MAP_NAME_BY_IDX_72	Gruta de Exilio 1
EXTENDET_BATTLE_PASS_GUILDWAR_TYPE_NAME_1	Campo
EXTENDET_BATTLE_PASS_GUILDWAR_TYPE_NAME_2	Arena
EXTENDET_BATTLE_PASS_GUILDWAR_TYPE_NAME_3	Bandera
EXTENDET_BATTLE_PASS_DUNGEON_NAME_1	Torre de los demonios
EXTENDET_BATTLE_PASS_DUNGEON_NAME_2	Sala de Cristal
EXTENDET_BATTLE_PASS_DUNGEON_NAME_3	Catacumbas del Demonio
EXTENDET_BATTLE_PASS_DUNGEON_NAME_4	Fortaleza del Dragón Rojo
EXTENDET_BATTLE_PASS_DUNGEON_NAME_5	Torre de Nemere
EXTENDET_BATTLE_PASS_DUNGEON_NAME_6	Cueva de la Baronesa
EXTENDET_BATTLE_PASS_DUNGEON_NAME_7	Guarida de Meley
EXTENDET_BATTLE_PASS_MINIGAME_NAME_1	Cartas Okey
EXTENDET_BATTLE_PASS_MINIGAME_NAME_2	Atrapa al Rey
EXTENDET_BATTLE_PASS_MINIGAME_NAME_3	Yutnori
EXTENDET_BATTLE_PASS_MINIGAME_NAME_4	Juego de cartas de Vidente
EXTENDET_BATTLE_PASS_MINIGAME_NAME_5	Rompecabezas de pez
FRAGMENT_COMB_TITLE	Combinar manuales de habilidad
GAMEOPTION_TITLE	Opciones del Juego
GAME_EXIT_OBSERVER	Finalizar Modo Observador
GAME_GUILD_WAR_JOIN	Acceder a guerra de gremios
GAME_HELP	Ayuda
GAME_QUEST	Tareas
GAME_SKILL_UP	Aumentar Habilidades
GAME_STAT_UP	Aumentar Estado
GRADE	Clase
GRADE_SELECT	Clase
GRAPHICONOFF_DROP_ITEM_APPLY	Aplicar
GRAPHICONOFF_DROP_ITEM_LEVEL	Caída de objetos
GRAPHICONOFF_DROP_ITEM_LEVEL1	1
GRAPHICONOFF_DROP_ITEM_LEVEL1_TOOLTIP	Mostrar efecto y nombre
GRAPHICONOFF_DROP_ITEM_LEVEL2	2
GRAPHICONOFF_DROP_ITEM_LEVEL2_TOOLTIP	Ocultar efecto
GRAPHICONOFF_DROP_ITEM_LEVEL3	3
GRAPHICONOFF_DROP_ITEM_LEVEL3_TOOLTIP	Ocultar efecto y nombre
GRAPHICONOFF_DROP_ITEM_LEVEL4	4
GRAPHICONOFF_DROP_ITEM_LEVEL4_TOOLTIP	Ocultar objetos y nombre al pasar el ratón
GRAPHICONOFF_DROP_ITEM_LEVEL5	5
GRAPHICONOFF_DROP_ITEM_LEVEL5_TOOLTIP	No mostrar objetos y nombre
GRAPHICONOFF_EFFECT_APPLY	Aplicar
GRAPHICONOFF_EFFECT_LEVEL	Efectos
GRAPHICONOFF_EFFECT_LEVEL1	1
GRAPHICONOFF_EFFECT_LEVEL1_TOOLTIP	Mostrar todos
GRAPHICONOFF_EFFECT_LEVEL2	2
GRAPHICONOFF_EFFECT_LEVEL2_TOOLTIP	Solo efectos propios y de monstruos
GRAPHICONOFF_EFFECT_LEVEL3	3
GRAPHICONOFF_EFFECT_LEVEL3_TOOLTIP	Solo efectos propios y de jugadores
GRAPHICONOFF_EFFECT_LEVEL4	4
GRAPHICONOFF_EFFECT_LEVEL4_TOOLTIP	Solo propios
GRAPHICONOFF_EFFECT_LEVEL5	5
GRAPHICONOFF_EFFECT_LEVEL5_TOOLTIP	No mostrar nada
GRAPHICONOFF_NPC_NAME_STATUS	Nombres de PNJ
GRAPHICONOFF_NPC_NAME_STATUS_OFF	No
GRAPHICONOFF_NPC_NAME_STATUS_OFF_TOOLTIP	Ocultar nombres de PNJ
GRAPHICONOFF_NPC_NAME_STATUS_ON	Sí
GRAPHICONOFF_NPC_NAME_STATUS_ON_TOOLTIP	Mostrar nombres de PNJ
GRAPHICONOFF_PET_STATUS	Mascotas
GRAPHICONOFF_PET_STATUS_OFF	No
GRAPHICONOFF_PET_STATUS_OFF_TOOLTIP	Ocultar mascota
GRAPHICONOFF_PET_STATUS_ON	Sí
GRAPHICONOFF_PET_STATUS_ON_TOOLTIP	Mostrar mascota
GRAPHICONOFF_PRIVATE_SHOP_APPLY	Aplicar
GRAPHICONOFF_PRIVATE_SHOP_LEVEL	Tiendas privadas
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1	1
GRAPHICONOFF_PRIVATE_SHOP_LEVEL1_TOOLTIP	Mostrar todas
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2	2
GRAPHICONOFF_PRIVATE_SHOP_LEVEL2_TOOLTIP	Mostrar todas en un entorno grande
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3	3
GRAPHICONOFF_PRIVATE_SHOP_LEVEL3_TOOLTIP	Mostrar todas en un entorno mediano
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4	4
GRAPHICONOFF_PRIVATE_SHOP_LEVEL4_TOOLTIP	Mostrar todas en el entorno cercano
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5	5
GRAPHICONOFF_PRIVATE_SHOP_LEVEL5_TOOLTIP	Mostrar todas en el entorno directo
GUILDWINDOW_BASE_BUFF	Bonificación de gremio
GUILD_BANKINFO_CLOSE	Cerrar
GUILD_BANKINFO_NAME	Miembro
GUILD_BANKINFO_TITLE	Registro del almacén del gremio
GUILD_BANKINFO_TYPE	Objeto/Moneda
GUILD_BANKINFO_USETYPE	Acción
GUILD_BANK_CLOSE	Cerrar
GUILD_BANK_INFO	Almacén:
GUILD_BANK_NUMBER	N.º de banco
GUILD_BASEINFO_BANK	Almacén del gremio
GUILD_BASEINFO_BANKLASTOUT	Última extracción
GUILD_BASEINFO_BUILDING	Edificio del gremio
GUILD_BASEINFO_DEAL	Vender terreno del gremio
GUILD_BASEINFO_FACTORY	Herrero del gremio
GUILD_BASEINFO_GOLDMANAGE	Transacción
GUILD_BASEINFO_GUILDLAND	Terreno del gremio
GUILD_BASEINFO_LANDABANDON	Disolver gremio
GUILD_BASEINFO_LANDSCAPE	Otros
GUILD_BASEINFO_LOCALE	Ubicación
GUILD_BASEINFO_MONEY	Estado de cuenta
GUILD_BASEINFO_MONEYBANKINFO	Información del banco del gremio
GUILD_BASEINFO_MONEYIN	Depósito
GUILD_BASEINFO_MONEYLASTOUT	Última extracción
GUILD_BASEINFO_MONEYOUT	Extracción
GUILD_BASEINFO_POWER	Altar del poder
GUILD_BASEINFO_SMEITER	Alquimista del gremio
GUILD_BASEINFO_TITLE	Información del terreno
GUILD_BASEINFO_VOTE	Encuesta
GUILD_BASENAME	Nombre Base
GUILD_BOARD_ID	Nombre
GUILD_BOARD_REFRESH	Actualizar
GUILD_BOARD_TEXT	Mensaje
GUILD_BUILDING_CATEGORY_TITLE	Unidades de Construcción
GUILD_BUILDING_CHANGE	Cambiar
GUILD_BUILDING_CHANGE_DELETE	Borrar
GUILD_BUILDING_CHANGE_FIX	Modificación de gremio
GUILD_BUILDING_CHANGE_LIST	Lista de objetos del gremio
GUILD_BUILDING_DIRECTION	Orientación
GUILD_BUILDING_FIX	Modificación
GUILD_BUILDING_GRADE	Clasificación
GUILD_BUILDING_INFO	Información de Construcciones y Coste
GUILD_BUILDING_LIST_TITLE	Lista de Construcciones
GUILD_BUILDING_LOG	Tronco
GUILD_BUILDING_NAME	Nombre de Construcción
GUILD_BUILDING_OPERATE	Operar
GUILD_BUILDING_PLY	Chapeado
GUILD_BUILDING_POSITION	Posición
GUILD_BUILDING_PREVIEW	Vista Previa
GUILD_BUILDING_PRICE	Precio
GUILD_BUILDING_REFRESH	Actualizar
GUILD_BUILDING_STONE	Piedra
GUILD_BUILDING_TITLE	Construcción de la Casa del Gremio
GUILD_CRYSTAL	Cristal
GUILD_DEPOSIT	Depósito
GUILD_DRAGONLAIR_RANKING	Lista de los mejores
GUILD_DRAGONLAIR_RANKING_COUNT	Puesto
GUILD_DRAGONLAIR_RANKING_MEMBER	Miembros
GUILD_DRAGONLAIR_RANKING_NAME	Gremio
GUILD_DRAGONLAIR_RANKING_TIME	Tiempo
GUILD_DROP_RESOURCE1	Aquí
GUILD_DROP_RESOURCE2	Dejar Recurso
GUILD_GEM	Gema
GUILD_GRADE_CHANGE_GRADE_NAME	Nuevo nombre de rango
GUILD_GRADE_NUM	Nr.
GUILD_GRADE_PERMISSION_BANK	Puede utilizar el banco y el almacén del gremio
GUILD_GRADE_PERMISSION_DELETE	Expulsar del gremio
GUILD_GRADE_PERMISSION_JOIN	Puede incorporar miembros al gremio
GUILD_GRADE_PERMISSION_NOTICE	Puede publicar notas del gremio
GUILD_GRADE_PERMISSION_SKILL	Habilidades del gremio
GUILD_GRADE_PERMISSION_WAR	Puede seleccionar miembros para que participen como guerreros
GUILD_GRADE_RANK	Rango
GUILD_GRADE_WRITE	Escribir
GUILD_INFO	Información del Gremio
GUILD_INFO_CUR_EXP	Experiencia
GUILD_INFO_DECALRE_WAR	Declarar Guerra
GUILD_INFO_ENEMY_GUILD	Gremio Enemigo
GUILD_INFO_ENEMY_GUILD_EMPTY	Ninguno
GUILD_INFO_LEVEL	Nivel del Gremio
GUILD_INFO_MARK	Simbolo del Gremio
GUILD_INFO_MASTER	Líder
GUILD_INFO_MASTER_VALUE	Líder
GUILD_INFO_MEMBER_AVG_LEVEL	Nivel Medio
GUILD_INFO_MEMBER_NUM	Nº de miembros
GUILD_INFO_NAME	Nombre Gremio
GUILD_INFO_NAME_VALUE	Esto es el nombre de un Gremio
GUILD_INFO_OFFER_EXP	Invertir
GUILD_INFO_REST_EXP	Exp. Necesaria
GUILD_INFO_UPLOAD_MARK	Subir Símbolo
GUILD_INFO_UPLOAD_SYMBOL	Subir Bandera
GUILD_LANDDEAL_VOTE	Vender terreno del gremio
GUILD_LANDDEAL_VOTE_DEALGOLD	Precio en Yang:
GUILD_LANDDEAL_VOTE_DEALGUILDNAME	Nombre del gremio:
GUILD_MARK	Símbolo del Gremio
GUILD_MASTER_CHANGE_TITLEBAR	Renunciar a liderazgo del gremio
GUILD_MEMBER_JOB	Clase
GUILD_MEMBER_KNIGHT	Guerrero
GUILD_MEMBER_LEVEL	Nivel
GUILD_MEMBER_NAME	Nombre
GUILD_MEMBER_OUT_TITLEBAR	Expulsar miembro
GUILD_MEMBER_PACE_ATTENDANCE	Participación ({0}/{1})
GUILD_MEMBER_RANK	Clasificación
GUILD_MEMBER_SPECIFIC_GRAVITY	Invertido
