AURA_BOOST_DRAIN_PER	Absorción adicional +%d%%
CANNOT_SKILL_HAVE_TO_RIDE	Necesito un caballo antes de poder usar esto.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	No tengo una botella vacia.
CANNOT_SKILL_NEED_POISON_BOTTLE	No tengo una botella de veneno.
CANNOT_SKILL_NEED_TARGET	¿Quiénl es el objetivo?
CANNOT_SKILL_NOT_ENOUGH_HP	¡No tengo suficiente HP!
CANNOT_SKILL_NOT_ENOUGH_SP	¡No tengo suficiente SP!
CANNOT_SKILL_NOT_HORSE_SKILL	No puedo usar esto mientras cabalgo.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	No puedo usar esta habilidad con este arma.
CANNOT_SKILL_NOT_YET_LEARN	No he aprendido esta habilidad.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Esto sólo afecta a los miembros del grupo.
CANNOT_SKILL_ONLY_FOR_CORPSE	Esto sólo afecta a los muertos.
CANNOT_SKILL_RED	Si el Alma lobuna índigo se encuentra activa, no puedes utilizar el Alma lobuna escarlata.
CANNOT_SKILL_REMOVE_FISHING_ROD	No puedo usar esta habilidad con una caña.
CANNOT_SKILL_SELF_IN_SAFE	No puedo atacar desde aquí.
CANNOT_SKILL_USE_SELF	No puedo usar esto conmigo mismo.
CANNOT_SKILL_WAIT_COOLTIME	Aún no puedo usar esta habilidad.
CANNOT_USE	No se puede usar.
CANNOT_WHISPER_DEST_REFUSE	%s ha bloqueado el susurro.	SA
CANNOT_WHISPER_NOT_LOGON	%s no está conectado.	SA
CANNOT_WHISPER_SELF_REFUSE	No puedes susurrar algo a alguien si has bloqueado el susurro.	SNA
CATEGORY_ARMOR_ARMOR_BODY	Armaduras
CATEGORY_ARMOR_ARMOR_GLOVE	Guantes
CATEGORY_ARMOR_ARMOR_HEAD	Cascos
CATEGORY_ARMOR_ARMOR_SHIELD	Escudos
CATEGORY_COSTUMES	Atuendos
CATEGORY_COSTUMES_COSTUME_BODY	Atuendos
CATEGORY_COSTUMES_COSTUME_HAIR	Peinados
CATEGORY_COSTUMES_COSTUME_WEAPON	Aspectos para armas
CATEGORY_COSTUMES_ETC	Otros
CATEGORY_COSTUMES_SASH	Estolas
CATEGORY_DRAGON_STONE	Alquimia de Piedras dragón
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamante
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granate
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jade
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Ónice
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubí
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Zafiro
CATEGORY_DRAGON_STONE_ETC	Otros
CATEGORY_EQUIPMENT_ARMOR	Equipamiento
CATEGORY_EQUIPMENT_JEWELRY	Joyas
CATEGORY_EQUIPMENT_WEAPON	Armas
CATEGORY_ETC	Otros
CATEGORY_ETC_ETC	Otros
CATEGORY_ETC_EVENT	Objetos de evento
CATEGORY_ETC_GIFTBOX	Baúles | Cajas
CATEGORY_ETC_MATRIMORY	Bodas
CATEGORY_ETC_PARTI	Manuales del arte de guerra
CATEGORY_ETC_POLYMORPH	Bolas polimorfas
CATEGORY_ETC_RECIPE	Creación de pociones
CATEGORY_ETC_SEAL	Unión al alma
CATEGORY_FISHING_PICK	Pesca | Minería
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Picos
CATEGORY_FISHING_PICK_ETC	Otros
CATEGORY_FISHING_PICK_FISHING_POLE	Cañas de pescar
CATEGORY_FISHING_PICK_FOOD	Peces
CATEGORY_FISHING_PICK_PICK_BOOK	Libros de minería
CATEGORY_FISHING_PICK_STONE	Minerales
CATEGORY_JEWELRY_ARMOR_EAR	Pendientes
CATEGORY_JEWELRY_ARMOR_FOOTS	Zapatos
CATEGORY_JEWELRY_ARMOR_NECK	Collares
CATEGORY_JEWELRY_ARMOR_PENDANT	Talismán
CATEGORY_JEWELRY_ARMOR_WRIST	Brazaletes
CATEGORY_JEWELRY_ITEM_BELT	Cinturones
CATEGORY_MOUNT_PET	Monturas | Mascotas
CATEGORY_MOUNT_PET_CHARGED_PET	Mascotas
CATEGORY_MOUNT_PET_EGG	Huevos de mascota
CATEGORY_MOUNT_PET_FREE_PET	Mascotas desarrollables
CATEGORY_MOUNT_PET_MOUNT	Monturas
CATEGORY_POTION	Pociones
CATEGORY_POTION_ABILITY	Consumibles
CATEGORY_POTION_ETC	Otros
CATEGORY_POTION_HAIRDYE	Tintes del pelo
CATEGORY_SKILL	Habilidades
CATEGORY_SKILL_BOOK_OF_OBLIVION	Libros del olvido
CATEGORY_SKILL_ETC	Otros
CATEGORY_SKILL_HORSE_SKILL_BOOK	Manual de habilidad de montura
CATEGORY_SKILL_PAHAE	Contraataque | Potenciación
CATEGORY_SKILL_SKILL_BOOK	Manuales de habilidad
CATEGORY_TUNING	Mejoras
CATEGORY_TUNING_ETC	Otros
CATEGORY_TUNING_RESOURCE	Materiales
CATEGORY_TUNING_STONE	Piedras espíritu
CATEGORY_UNIQUE	Objetos especiales
CATEGORY_UNIQUE_ABILITY	Consumibles
CATEGORY_UNIQUE_ETC	Otros
CATEGORY_WEAPON_WEAPON_ARROW	Flechas
CATEGORY_WEAPON_WEAPON_BELL	Campanas
CATEGORY_WEAPON_WEAPON_BOW	Arcos
CATEGORY_WEAPON_WEAPON_CLAW	Garras
CATEGORY_WEAPON_WEAPON_DAGGER	Puñales
CATEGORY_WEAPON_WEAPON_FAN	Abanicos
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Lanzas
CATEGORY_WEAPON_WEAPON_QUIVER	Carcajes
CATEGORY_WEAPON_WEAPON_SWORD	Armas a una mano
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Armas a dos manos
CHANGE_ALREADY_REGISTER	[Transfiguración] Este objeto ya se ha registrado.
CHANGE_LOOK_CHANGE_ITEM	¿Quieres transfigurar el objeto?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Transfiguración] Por favor, retira primero el objeto sobre el que quieres aplicar la transfiguración.
CHANGE_LOOK_COST	Precio por transfiguración: %s Yang
CHANGE_LOOK_DEL_ITEM	El objeto en cuestión se borra.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Transfiguración] Este objeto no se puede transfigurar.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Transfiguración] No puedes transfigurar el objeto mientras esté en uso.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Transfiguración] Este objeto no se puede registrar.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Transfiguración] El objeto está unido al alma.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Transfiguración] Por favor, registra el objeto que quieres transfigurar.
CHANGE_LOOK_INSERT_ITEM	[Transfiguración] Primero tienes que registrar el objeto.
CHANGE_LOOK_NEED_MONEY	No tienes suficiente Yang o suficientes objetos.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Transfiguración] Esta acción no es posible mientras esté abierta la ventana "Transfiguración".
CHANGE_LOOK_TITLE	Transfiguración
CHANGE_LOOK_TITLE2	Transformación de montura
CHANGE_PET_PLEASE_APPEND_FIRST	Primero hay que seleccionar una mascota.
CHANGE_TOOLTIP2_LINE1	Añade a la izquierda el objeto de destino y a la derecha, el material.
CHANGE_TOOLTIP2_LINE2	Marca la opción para utilizar Yang o una Marca de transformación y cambia la apariencia de tu montura.
CHANGE_TOOLTIP2_LINE3	La marca de transformación modifica la apariencia de tu montura sin gastar Yang. (La marca se destruirá).
CHANGE_TOOLTIP2_LINE4	Si se modifica la apariencia de la montura con una duración, se mantiene la duración original.
CHANGE_TOOLTIP2_LINE5	Si la montura de destino es permanente y el material dispone de una duración concreta, la montura mantendrá la nueva apariencia con la duración del material.
CHANGE_TOOLTIP_LINE1	Coloca el objeto que quieres transfigurar a la izquierda.
CHANGE_TOOLTIP_LINE2	Coloca el otro objeto a la derecha.
CHANGE_TOOLTIP_LINE3	El aspecto del objeto de la izquierda cambia cuando
CHANGE_TOOLTIP_LINE4	confirmas las transfiguración (V) y se te extrajo el Yang correspondiente.
CHANGE_TOOLTIP_LINE5	Cuando utilizas este objeto,
CHANGE_TOOLTIP_LINE6	puedes transfigurar objetos sin tener que usar Yang.
CHANGE_TOOLTIP_TITLE	Transfiguración
CHANNEL	Canal
CHANNELING_CANNOT_LOGOUT	No puedes regresar a la pantalla de registro.
CHANNEL_EMPTY_SERVER	No servidor
CHANNEL_NORMAL	Canal %d
CHANNEL_NOTIFY_FULL	¡Este canal está lleno! Por favor, selecciona otro.
CHANNEL_NOT_FIND_INFO	No se ha encontrado ninguna información a través de este canal.
CHANNEL_PVP	Duelo libre
CHANNEL_SELECT_CHANNEL	Elige el canal
CHANNEL_SELECT_REGION	Elegir la región.
CHANNEL_SELECT_SERVER	Elige servidor
CHANNEL_STATUS_BUSY	Muy frecuentado
CHANNEL_STATUS_FULL	Lleno
CHANNEL_STATUS_OFFLINE	Desconocido
CHANNEL_STATUS_RECOMMENDED	Recomendado
CHANNEL_STATUS_VACANT	Poco frecuentado
CHANNEL_TEST_SERVER	Test de servidor
CHANNEL_TEST_SERVER_ADDR	Test %s:%d
CHARACTER_CREATE_MODE	Crear personaje
CHARACTER_NAME	Nombre
CHARACTER_SELECT_MODE	Seleccionar personaje
CHAT_ALL	Todo
CHAT_BLOCK	Bloquear
CHAT_DICE_INFO	Tirada
CHAT_GUILD	Gremio
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Esta frase contiene palabras inválidas.
CHAT_LOG	Mostrar mensajes antiguos [L]
CHAT_LOG_TITLE	Protocolo del chat
CHAT_NORMAL	Normal
CHAT_NOTICE	Servidor
CHAT_PARTY	Grupo
CHAT_SEND_CHAT	Enviar chat
CHAT_SEND_MEMO	Enviar susurro[Shift+Enter]
CHAT_SHOUT	Llamar
CHAT_SHOUT_LIMIT	Sólo puedes llamar cada 15 segundos.
CHAT_WHISPER	Conversación
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	No puedes tirar dinero.
GAME_PICK_CHEQUE	Has obtenido %d Won.
CHEQUE_SYSTEM_SELL_PRICE	[Precio de venta]
CHEQUE_SYSTEM_UNIT_CHEQUE	Won
CHEQUE_SYSTEM_UNIT_GEM	Gem
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
COMB_ALREADY_APPEND	Este objeto ya se ha seleccionado.
COMB_CANT_APPEND_ITEM	No se puede utilizar este objeto.
COMB_CANT_APPEND_SEALED_ITEM	No puedes usar objetos que se encuentren bajo el efecto de la Unión al alma.
COMB_COST	Precio: %s
COMB_IS_CONTINUE_PROCESS	¿Quieres continuar?
COMB_NOTICE	No puedes abrir una tienda privada mientras canjeas libros.
COMB_NOTICE_NOT_OPEN	No puedes canjear libros si has abierto una tienda privada.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Para transferir bonificaciones se necesita un objeto original, un receptor y uno de transferencia.
COMB_NOT_FULL_BOOK	No, así no vamos a hacer negocios. Como ya te expliqué, solamente canjeo libros si me puedes traer al menos 10 de ellos.
COMB_NOT_ITEM_IN_INVENTORY	No puedes utilizar un objeto equipado.
COMB_NOT_MEDIUM_ITEM	No se puede utilizar este objeto.
COMB_WILL_REMOVE_MATERIAL	El original se destruirá en caso de éxito.
CREATE_ERROR_GM_NAME	No tienes permitido usar 'GM' en el nombre de tu personaje.
CREATE_ERROR_INSULT_NAME	Este nombre es inválido.
CREATE_ERROR_LIMIT_LEVEL	Tu personaje tiene que haber alcanzado el nivel 80 como mínimo.
CREATE_ERROR_TIME_LIMIT	Puedes crear un personaje cada 30 segundos.
CREATE_ERROR_WRONG_STRING	Este nombre de personaje no es válido.
CREATE_EXIST_SAME_NAME	Alguien ya está usando este nombre de personaje.
CREATE_FAILURE	No puedes crear el personaje.
CREATE_FULL	No puedes crear más personajes.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Introducir el nombre.
CREATE_PLUS_STAT	Todavía hay puntos de estado restantes.
CUBE_CATEGORY_ACCESSORY	Joyas
CUBE_CATEGORY_ARMOR	Armadura
CUBE_CATEGORY_ARMOR_GLOVE	Guantes
CUBE_CATEGORY_BELT	Cinturones
CUBE_CATEGORY_ETC	Etc.
CUBE_CATEGORY_EVENT	Evento
CUBE_CATEGORY_JOB	Clase
CUBE_CATEGORY_PET	Mascota
CUBE_CATEGORY_SETADD_ARMOR	Fabricar equipamiento de set
CUBE_CATEGORY_SETADD_HELMET	Fabricar casco de set
CUBE_CATEGORY_SETADD_WEAPON	Fabricar arma de set
CUBE_CATEGORY_WEAPON	Arma
CUBE_CATEGOR_SKILL_BOOK	Manual de habilidad
CUBE_LIST_TEXT_ITEM_INFO	%s (%d %%)
CUBE_LIST_TEXT_MAKE_QUANTITY	[%d]
CUBE_MAKE_CONFIRM_QUESTION_1	Al menos un objeto utilizado es especialmente valioso (tiene más de %d bonificaciones).
CUBE_MAKE_CONFIRM_QUESTION_2	¿Seguro que quieres continuar?
CUBE_NOT_ENOUGH_GEM	No tienes suficiente Gaya.
CUBE_NOT_ENOUGH_GOLD	No dispones de suficiente Yang para la fabricación.
CUBE_NOT_ENOUGH_MATERIAL	No dispones de suficiente material para la fabricación.
CUBE_PLEASE_SELECT	No se ha seleccionado ningún objeto.
CUBE_TOOLTIP_PASSIVE_JOB_LEFT_TIME	Tiempo restante: {0} ~ {1} hora/s
CZ_REWARD_QUESTION_COMPLETE	¿Quieres canjear esta casilla?
CZ_REWARD_TOOLTIP_10GAN	Insignias del zodíaco
CZ_REWARD_TOOLTIP_10GAN_COUNT	Cantidad en el inventario
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Cantidad necesaria
CZ_REWARD_TOOLTIP_12ZI	Insignias de guardián
CZ_REWARD_TOOLTIP_12ZI_COUNT	Cantidad en el inventario
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Cantidad necesaria
CZ_REWARD_TOOLTIP_ALL_BOX	Tesoro estrellado
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Haz clic aquí para recoger tu Tesoro estrellado como recompensa.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Haz clic aquí para recoger tu Tesoro de aventurina como recompensa.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Haz clic aquí para recoger tu Tesoro de aureolina como recompensa.
CZ_REWARD_TOOLTIP_COMPLETABLE	Canjear
CZ_REWARD_TOOLTIP_GREEN_BOX	Tesoro de aventurina
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Tesoros de aventurina canjeados: %d
CZ_REWARD_TOOLTIP_WEEKLY	Día
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Viernes
CZ_REWARD_TOOLTIP_WEEKLY_MON	Lunes
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Sábado
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Sábado / domingo
CZ_REWARD_TOOLTIP_WEEKLY_THU	Jueves
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Martes
CZ_REWARD_TOOLTIP_WEEKLY_WED	Miércoles
CZ_REWARD_TOOLTIP_YELLOW_BOX	Tesoro de aureolina
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Tesoros de aureolina canjeados: %d
DAY	d
DETAILS_1	Fza. c. mediohumanos
DETAILS_2	Res. a mediohumanos
DETAILS_3	Fuerza contra orcos
DETAILS_4	Fza. c. muertos viv.
DETAILS_5	Fuerza c. monstruos
DETAILS_6	Fza. c. mon. zodíaco
DETAILS_7	Fuerza c. animales
DETAILS_8	Fuerza c. esotéricos
DETAILS_9	Fuerza c. demonios
DETAILS_10	Fza. c. mon. desier.
DETAILS_11	Fuerza c. insectos
DETAILS_12	Valor de ataque
DETAILS_13	Valor de defensa
DETAILS_14	Daño medio
DETAILS_15	Res. a daño medio
DETAILS_16	Daño de habilidad
DETAILS_17	Resist. daño de habilidad
DETAILS_18	At. mág./cpo. a cpo.
DETAILS_19	Ataque mágico
DETAILS_20	Prob. golpe crítico
DETAILS_21	Golpe perforador
DETAILS_22	Res. a golpe crítico
DETAILS_23	Res. a golpe perf.
DETAILS_24	Res. a relámpago
DETAILS_25	Resistencia a hielo
DETAILS_26	Res. a oscuridad
DETAILS_27	Resistencia a fuego
DETAILS_28	Resistencia a viento
DETAILS_29	Resistencia a tierra
DETAILS_30	Poder del relámpago
DETAILS_31	Poder del hielo
DETAILS_32	Poder de oscuridad
DETAILS_33	Poder del fuego
DETAILS_34	Poder del viento
DETAILS_35	Poder de la tierra
DETAILS_36	Fza. c. Guerreros
DETAILS_37	Fuerza contra Ninjas
DETAILS_38	Fuerza contra Suras
DETAILS_39	Fuerza c. Chamanes
DETAILS_40	Fuerza c. Lícanos
DETAILS_41	Defensa c. Guerreros
DETAILS_42	Defensa c. Ninjas
DETAILS_43	Defensa contra Suras
DETAILS_44	Defensa c. Chamanes
DETAILS_45	Defensa c. Lícanos
DETAILS_46	Defensa c. espadas
DETAILS_47	Defensa c. dos manos
DETAILS_48	Defensa contra dagas
DETAILS_49	Defensa c. garras
DETAILS_50	Defensa c. campanas
DETAILS_51	Defensa c. abanicos
DETAILS_52	Defensa c. flechas
DETAILS_53	Probabilidad desmayo
DETAILS_54	Probabilidad retardo
DETAILS_55	Prob. envenenamiento
DETAILS_56	Resistencia a veneno
DETAILS_57	Ataque de sangrado
DETAILS_58	Res. a at. sangrado
DETAILS_59	Robo de vida
DETAILS_60	Robo de SP
DETAILS_61	Restauración de HP
DETAILS_62	Restauración de SP
DETAILS_63	Bloquear ataque
DETAILS_64	Evasión de flechas
DETAILS_65	Reflec. cpo. a cpo.
DETAILS_66	Restau. HP al matar
DETAILS_67	Restau. SP al matar
DETAILS_68	EXP doble
DETAILS_69	Yang doble
DETAILS_70	Probabilidad botín
DETAILS_71	Valor de ataque
DETAILS_72	Defensa
DETAILS_73	EXP
DETAILS_74	Probabilidad botín
DETAILS_75	Yang doble
DETAILS_76	Resistencia a magia
DETAILS_77	Rompemagia
DETAILS_80	Fuerza vs. Metin
DETAILS_81	Fuerza c. jefes
DETAILS_ATTBONUS_BELL	Fractura de campana
DETAILS_ATTBONUS_BOW	Fractura de flecha
DETAILS_ATTBONUS_CLAW	Fractura de garra
DETAILS_ATTBONUS_DAGGER	Fractura de daga
DETAILS_ATTBONUS_FAN	Fractura de abanico
DETAILS_ATTBONUS_SWORD	Fractura de espada
DETAILS_ATTBONUS_TWOHAND	Fractura de arma a dos manos
DETAILS_CATE_1	Daño/Defensa
DETAILS_CATE_2	Boni. elementales
DETAILS_CATE_3	Boni. de clase
DETAILS_CATE_4	Boni. de arma
DETAILS_CATE_5	Otras bonificaciones
DETAILS_CATE_6	Boni. especiales
DETAILS_RESIST_MOUNT_FALL	Resistencia contra caída
DETAILS_TITLE	Detalles
DETAILS_TOOLTIP_1	Fuerza contra mediohumanos: provoca más daños a mediohumanos.
DETAILS_TOOLTIP_10	Fuerte contra monstruos del desierto: causa más daño a monstruos del desierto.
DETAILS_TOOLTIP_11	Fuerte contra insectos: causa más daño a insectos.
DETAILS_TOOLTIP_12	Aumenta tu valor de ataque.
DETAILS_TOOLTIP_13	Aumenta tu valor de defensa.
DETAILS_TOOLTIP_14	Aumenta el daño medio que provocas en tus enemigos al atacar.
DETAILS_TOOLTIP_15	Resistencia contra daño medio: reduce el daño que sufres con un ataque.
DETAILS_TOOLTIP_16	Aumenta el daño que provoca una habilidad.
DETAILS_TOOLTIP_17	Resistencia contra daño de habilidad: reduce el daño que te provoca una habilidad.
DETAILS_TOOLTIP_18	Aumentan tanto el valor de ataque físico como el mágico.
DETAILS_TOOLTIP_19	Aumenta el daño que provocas a los enemigos con un ataque mágico.
DETAILS_TOOLTIP_2	Resistencia contra mediohumanos: reduce el daño que se sufre de mediohumanos.
DETAILS_TOOLTIP_20	Aumenta la probabilidad de lograr un golpe crítico.
DETAILS_TOOLTIP_21	Probabilidad de golpe penetrante: aumenta la probabilidad de provocar un golpe penetrante.
DETAILS_TOOLTIP_22	Resistencia contra golpe crítico: reduce el daño que provoca un golpe crítico.
DETAILS_TOOLTIP_23	Resistencia contra golpe penetrante: reduce el daño que provoca un golpe penetrante.
DETAILS_TOOLTIP_24	Reduce el daño que se sufre de determinados monstruos.
DETAILS_TOOLTIP_25	Reduce el daño que se sufre de determinados monstruos.
DETAILS_TOOLTIP_26	Resistencia contra la oscuridad: reduce el daño que se sufre de determinados monstruos.
DETAILS_TOOLTIP_27	Reduce el daño que se sufre de determinados monstruos.
DETAILS_TOOLTIP_28	Reduce el daño que se sufre de determinados monstruos.
DETAILS_TOOLTIP_29	Reduce el daño que se sufre de determinados monstruos.
DETAILS_TOOLTIP_3	Fuerza contra orcos: causa más daño a orcos.
DETAILS_TOOLTIP_30	Aumenta el daño que causas gracias al poder del relámpago.
DETAILS_TOOLTIP_31	Aumenta el daño que causas gracias al poder del hielo.
DETAILS_TOOLTIP_32	Aumenta el daño que causas gracias al poder de la oscuridad.
DETAILS_TOOLTIP_33	Aumenta el daño que causas gracias al poder del fuego.
DETAILS_TOOLTIP_34	Aumenta el daño que causas gracias al poder del viento.
DETAILS_TOOLTIP_35	Aumenta el daño que causas gracias al poder de la tierra.
DETAILS_TOOLTIP_36	Fuerza contra Guerreros: causa más daño a Guerreros.
DETAILS_TOOLTIP_37	Fuerza contra Ninjas: causa más daño a Ninjas.
DETAILS_TOOLTIP_38	Fuerza contra Suras: causa más daño a Suras.
DETAILS_TOOLTIP_39	Fuerza contra Chamanes: causa más daño a Chamanes.
DETAILS_TOOLTIP_4	Fuerza contra muertos vivientes: causa más daño a muertos vivientes.
DETAILS_TOOLTIP_40	Fuerza contra Lícanos: causa más daño a Lícanos.
DETAILS_TOOLTIP_41	Probabilidad de defensa contra ataques de Guerreros: reduce el daño que se sufre por parte de Guerreros.
