AURA_BOOST_DRAIN_PER	Absorción adicional +%d%%
AURA_TOOLTIP_NEED_YANG	%s Yang
AURA_TOOLTIP_NEXT	Novos
AURA_TOOLTIP_NOW	Actuais
AURA_TOOLTIP_RESOURCE	Consumíveis
AURA_TOOLTIP_RESOURCE_ITEM	%s * %d
ITEM_VNUM_TOOLTIP	item_vnum: [%d]
ACCE_ABSORB_CHANCE	Absorption rate: %d%%
ACCE_ABSORB_CHANCE2	Absorption rate: %d%% ~ %d%%
ACCE_DO_YOU_CLEAN	Do you want to remove all available bonuses?
ACCE_FAILURE_CLEAN	No bonuses can be taken away.
ACCE_REFINE_COST	Precio de la absorción: %d
ACCE_DEL_ABSORDITEM	¿Deseas absorber el objeto y destruirlo en el proceso?
ACCE_DEL_SERVEITEM	Si falla la combinación, la Estola 2 quedará destruida.
AFF_LOVE_POINT	Pontos de Amor: %d%%
ALIGNMENT_NAME	Pontos de Karma:
ATTACK_ERROR_UNKNOWN	Erro de Ataque Desconhecido: %s
ATTENDANCE_REWARD_QUESTION	Queres obter a tua recompensa?
ATTR_6TH_7TH_ADD_QUESTION1	Não podes usar este item enquanto um bónus está a ser adicionado.
ATTR_6TH_7TH_ADD_QUESTION2	Queres mesmo adicionar o bónus?
ATTR_6TH_7TH_CHANGE_FAIL	Não podes mudar o bónus.
ATTR_6TH_7TH_POSSIBILITY	Podes adicionar um bónus adicional.
ATTR_6TH_7TH_TOTAL_SUCCESS_PERCENT	Taxa de sucesso: %.1f%%
AUTO_TOOLTIP_CLEAR	Reiniciar
AUTO_TOOLTIP_LINE1	Habilidades: Selecciona habilidades para combate e arrasta-as para os espaços. (Premium)
AUTO_TOOLTIP_LINE2	Dica: Podes alterar o intervalo de activação (em segundos) por baixo de cada habilidade.
AUTO_TOOLTIP_LINE3	Poções: Selecciona poções para combate e arrasta-as para os espaços. (Premium)
AUTO_TOOLTIP_LINE4	Dica: Poções de VD e MN serão activadas assim que a quantidade de cada um cair abaixo do valor em % mostrado sob cada poção.
AUTO_TOOLTIP_LINE5	Nota: o uso automático de habilidades, poções e ressuscitação pode ser ativado na Loja de Itens.
AUTO_TOOLTIP_TITLE	Ajuda de Auto-Caça
BATTLE_POINT	Pontos de Combate
CANNOT_ATTACK_DEST_IN_SAFE	O combatente está muito longe.
CANNOT_ATTACK_SELF_IN_SAFE	Não posso atacar.
CANNOT_DOING_PRIVATE_SHOP_OPEN	Não podes fazer mais nada enquanto tens uma Loja Privada aberta.
CANNOT_EQUIP_IN_EXCHANGE	Não podes alterar o teu equipamento enquanto negoceias.
CANNOT_EQUIP_IN_SHOP	Não podes mudar o teu equipamento enquanto negoceias.
CANNOT_OPEN_PRIVATE_SHOP_IN_SAFE_AREA	Não podes abrir uma Loja Privada numa área pública.
CANNOT_SHOOT_DEST_IN_SAFE	O inimigo está muito longe.
CANNOT_SHOOT_EMPTY_ARROW	Preciso de Flechas!
CANNOT_SHOOT_SELF_IN_SAFE	Não posso fazer isto.
CANNOT_SKILL_APPROACH	Tenho a certeza que não posso chegar mais perto.
CANNOT_SKILL_ATTACK	Não posso atacar.
CANNOT_SKILL_BLUE	Não podes usar a Alma do Lobo Anil quando a Alma do Lobo Rubro está activada.
CANNOT_SKILL_DEST_IN_SAFE	O inimigo está muito longe.
CANNOT_SKILL_EQUIP_FISHING_ROD	Não podes pescar sem uma cana equipada.
CANNOT_SKILL_HAVE_TO_RIDE	Preciso de um Cavalo para usar isto.
CANNOT_SKILL_NEED_EMPTY_BOTTLE	Não tenho uma Garrafa Vazia.
CANNOT_SKILL_NEED_POISON_BOTTLE	Não tenho uma Garrafa de Veneno.
CANNOT_SKILL_NEED_TARGET	Quem é o alvo?
CANNOT_SKILL_NOT_ENOUGH_HP	Não tenho VD suficiente!
CANNOT_SKILL_NOT_ENOUGH_SP	Não tenho MN suficiente!
CANNOT_SKILL_NOT_HORSE_SKILL	Não posso usar isto enquanto estou montado.
CANNOT_SKILL_NOT_MATCHABLE_WEAPON	Não posso usar esta Habilidade com esta arma.
CANNOT_SKILL_NOT_YET_LEARN	Não aprendi esta Habilidade.
CANNOT_SKILL_ONLY_FOR_ALLIANCE	Isto apenas afecta membros do grupo.
CANNOT_SKILL_ONLY_FOR_CORPSE	Isto apenas afecta pessoas mortas.
CANNOT_SKILL_RED	Não podes usar a Alma do Lobo Rubro quando a Alma do Lobo Anil está activada.
CANNOT_SKILL_REMOVE_FISHING_ROD	Não posso usar esta Habilidade com uma Cana de Pesca.
CANNOT_SKILL_SELF_IN_SAFE	Não posso atacar daqui.
CANNOT_SKILL_USE_SELF	Não posso usar isto em mim mesmo.
CANNOT_SKILL_WAIT_COOLTIME	Ainda não posso usar esta Habilidade.
CANNOT_USE	Não podes usar isto.
CANNOT_WHISPER_DEST_REFUSE	%s bloqueou completamente o Segredar.	SA
CANNOT_WHISPER_NOT_LOGON	%s não está online.	SA
CANNOT_WHISPER_SELF_REFUSE	Não podes Segredar a alguém quando bloqueias completamente o Segredar.	SNA
CATEGORY_ARMOR_ARMOR_BODY	Armadura
CATEGORY_ARMOR_ARMOR_GLOVE	Luvas
CATEGORY_ARMOR_ARMOR_HEAD	Elmos
CATEGORY_ARMOR_ARMOR_SHIELD	Escudos
CATEGORY_COSTUMES	Disfarces
CATEGORY_COSTUMES_COSTUME_BODY	Disfarces
CATEGORY_COSTUMES_COSTUME_HAIR	Penteados
CATEGORY_COSTUMES_COSTUME_WEAPON	Skins de Arma
CATEGORY_COSTUMES_ETC	Outros
CATEGORY_COSTUMES_SASH	Faixas de Ombro
CATEGORY_DRAGON_STONE	Alquimia da Pedra do Dragão
CATEGORY_DRAGON_STONE_DRAGON_DIAMOND	Diamante
CATEGORY_DRAGON_STONE_DRAGON_GARNET	Granada
CATEGORY_DRAGON_STONE_DRAGON_JADE	Jade
CATEGORY_DRAGON_STONE_DRAGON_ONYX	Ónix
CATEGORY_DRAGON_STONE_DRAGON_RUBY	Rubi
CATEGORY_DRAGON_STONE_DRAGON_SAPPHIRE	Safira
CATEGORY_DRAGON_STONE_ETC	Outros
CATEGORY_EQUIPMENT_ARMOR	Equipamento
CATEGORY_EQUIPMENT_JEWELRY	Joalharia
CATEGORY_EQUIPMENT_WEAPON	Armas
CATEGORY_ETC	Outros
CATEGORY_ETC_ETC	Outros
CATEGORY_ETC_EVENT	Itens de Evento
CATEGORY_ETC_GIFTBOX	Cofres | Caixas
CATEGORY_ETC_MATRIMORY	Casamento
CATEGORY_ETC_PARTI	Livros de Arte da Guerra
CATEGORY_ETC_POLYMORPH	Mármores do Polimorfismo
CATEGORY_ETC_RECIPE	Produção de Poções
CATEGORY_ETC_SEAL	Vinculação
CATEGORY_FISHING_PICK	Pesca | Mineração
CATEGORY_FISHING_PICK_EQUIPMENT_PICK	Picaretas
CATEGORY_FISHING_PICK_ETC	Outros
CATEGORY_FISHING_PICK_FISHING_POLE	Canas de Pesca
CATEGORY_FISHING_PICK_FOOD	Peixes
CATEGORY_FISHING_PICK_PICK_BOOK	Guias de Mineração
CATEGORY_FISHING_PICK_STONE	Minérios
CATEGORY_JEWELRY_ARMOR_EAR	Brincos
CATEGORY_JEWELRY_ARMOR_FOOTS	Sapatos
CATEGORY_JEWELRY_ARMOR_NECK	Colares
CATEGORY_JEWELRY_ARMOR_PENDANT	Talismã
CATEGORY_JEWELRY_ARMOR_WRIST	Braceletes
CATEGORY_JEWELRY_ITEM_BELT	Cintos
CATEGORY_MOUNT_PET	Montadas | Pets
CATEGORY_MOUNT_PET_CHARGED_PET	Pets
CATEGORY_MOUNT_PET_EGG	Ovos de Pet
CATEGORY_MOUNT_PET_FREE_PET	Pets Evoluíveis
CATEGORY_MOUNT_PET_MOUNT	Montadas
CATEGORY_POTION	Poções
CATEGORY_POTION_ABILITY	Consumíveis
CATEGORY_POTION_ETC	Outros
CATEGORY_POTION_HAIRDYE	Tintas de Cabelo
CATEGORY_SKILL	Habilidades
CATEGORY_SKILL_BOOK_OF_OBLIVION	Livros da Amnésia
CATEGORY_SKILL_ETC	Outros
CATEGORY_SKILL_HORSE_SKILL_BOOK	Livro de Habilidades de Cavalo
CATEGORY_SKILL_PAHAE	Guarda | Reforço
CATEGORY_SKILL_SKILL_BOOK	Livros de Habilidade
CATEGORY_TUNING	Melhoramentos
CATEGORY_TUNING_ETC	Outros
CATEGORY_TUNING_RESOURCE	Materiais
CATEGORY_TUNING_STONE	Pedras Espíritas
CATEGORY_UNIQUE	Itens Especiais
CATEGORY_UNIQUE_ABILITY	Consumíveis
CATEGORY_UNIQUE_ETC	Outros
CATEGORY_WEAPON_WEAPON_ARROW	Flechas
CATEGORY_WEAPON_WEAPON_BELL	Campainhas
CATEGORY_WEAPON_WEAPON_BOW	Arcos
CATEGORY_WEAPON_WEAPON_CLAW	Garras
CATEGORY_WEAPON_WEAPON_DAGGER	Adagas
CATEGORY_WEAPON_WEAPON_FAN	Leques
CATEGORY_WEAPON_WEAPON_MOUNT_SPEAR	Lanças
CATEGORY_WEAPON_WEAPON_QUIVER	Aljavas
CATEGORY_WEAPON_WEAPON_SWORD	Armas de Uma Mão
CATEGORY_WEAPON_WEAPON_TWO_HANDED	Armas de Duas Mãos
CHANGE_ALREADY_REGISTER	[Transmutação] Este item já foi submetido.
CHANGE_LOOK_CHANGE_ITEM	Queres transmutar este item?
CHANGE_LOOK_CHECK_OUT_REGISTER_ITEM	[Transmutação] Por favor primeiro remove o item que pretendes transmutar.
CHANGE_LOOK_COST	Custo de Transmutação: %s Yang
CHANGE_LOOK_DEL_ITEM	O item absorvido será apagado.
CHANGE_LOOK_DO_NOT_CHANGE_LOOK_ITEM	[Transmutação] Este item não pode ser transmutado.
CHANGE_LOOK_DO_NOT_EQUIP_ITEM	[Transmutação] Não podes transmutar um item enquanto está equipado.
CHANGE_LOOK_DO_NOT_REGISTER_ITEM	[Transmutação] Não podes submeter este item.
CHANGE_LOOK_DO_NOT_SEAL_ITEM	[Transmutação] O item está vinculado.
CHANGE_LOOK_INSERT_CHANGE_LOOK_ITEM	[Transmutação] Por favor submete o item que queres transmutar.
CHANGE_LOOK_INSERT_ITEM	[Transmutação] Tens de submeter o item primeiro.
CHANGE_LOOK_NEED_MONEY	O teu Yang ou itens não são suficientes.
CHANGE_LOOK_OPEN_OTHER_WINDOW	[Transmutação] Esta acção não é possível enquanto a janela de Transmutação está aberta.
CHANGE_LOOK_TITLE	Transmutação
CHANGE_LOOK_TITLE2	Transformação de Montada
CHANGE_PET_PLEASE_APPEND_FIRST	O pet tem de ser seleccionado primeiro.
CHANGE_TOOLTIP2_LINE1	Adiciona o item alvo à esquerda e o material à direita.
CHANGE_TOOLTIP2_LINE2	Clica na caixa de marcação para usares Yang ou um Token de Transformação e alterares a aparência da tua montada.
CHANGE_TOOLTIP2_LINE3	Usar um Token de Transformação altera a aparência da tua montada sem custo de Yang (isto consome o Token).
CHANGE_TOOLTIP2_LINE4	Ao alterar a aparência de uma montada com duração, a duração da montada permanece inalterada.
CHANGE_TOOLTIP2_LINE5	Se a montada alvo for permanente e a montada usada como material tiver uma duração, a montada irá ficar com a aparência alterada pelo período de duração da montada usada como material.
CHANGE_TOOLTIP_LINE1	Coloca à esquerda o item que queres transmutar.
CHANGE_TOOLTIP_LINE2	Coloca o outro item no lado direito.
CHANGE_TOOLTIP_LINE3	A aparência do item do lado esquerdo será alterada
CHANGE_TOOLTIP_LINE4	assim que confirmares a transmutação (V) e pagares Yang.
CHANGE_TOOLTIP_LINE5	Usar este item permite-te
CHANGE_TOOLTIP_LINE6	transmutares o teu item sem gastares Yang.
CHANGE_TOOLTIP_TITLE	Transmutação
CHANNEL	Canal
CHANNELING_CANNOT_LOGOUT	Não podes voltar ao ecrã de login.
CHANNEL_EMPTY_SERVER	Sem servidores
CHANNEL_NORMAL	Canal %d
CHANNEL_NOTIFY_FULL	O canal está cheio! Por favor escolhe outro.
CHANNEL_NOT_FIND_INFO	Não podes obter esta informação no Canal.
CHANNEL_PVP	Duelo livre
CHANNEL_SELECT_CHANNEL	Escolhe o Canal
CHANNEL_SELECT_REGION	Escolhe a região.
CHANNEL_SELECT_SERVER	Escolhe o Servidor
CHANNEL_STATUS_BUSY	Ocupado
CHANNEL_STATUS_FULL	Cheio
CHANNEL_STATUS_OFFLINE	Desconhecido
CHANNEL_STATUS_RECOMMENDED	Recomendados
CHANNEL_STATUS_VACANT	Baixo
CHANNEL_TEST_SERVER	Servidor de testes
CHANNEL_TEST_SERVER_ADDR	Teste %s:%d
CHARACTER_CREATE_MODE	Criar Personagem
CHARACTER_NAME	Nome
CHARACTER_SELECT_MODE	Seleccionar Personagem
CHAT_ALL	Tudo
CHAT_BLOCK	Bloquear
CHAT_DICE_INFO	Lançar
CHAT_GUILD	Guild
CHAT_INFORMATION	Info
CHAT_INSULT_STRING	Esta frase contém palavras inválidas.
CHAT_LOG	Mostrar mensagens antigas [L]
CHAT_LOG_TITLE	Mostrar Log
CHAT_NORMAL	Normal
CHAT_NOTICE	Servidor
CHAT_PARTY	Grupo
CHAT_SEND_CHAT	Enviar
CHAT_SEND_MEMO	Enviar Segredo [Shift+Enter]
CHAT_SHOUT	Chamar
CHAT_SHOUT_LIMIT	Só podes Chamar de 15 em 15 segundos.
CHAT_WHISPER	Segredo
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	Não podes deixar cair dinheiro.
GAME_PICK_CHEQUE	Recebeste %d Won.
CHEQUE_SYSTEM_SELL_PRICE	[Preço de Venda]
CHEQUE_SYSTEM_UNIT_CHEQUE	Won
CHEQUE_SYSTEM_UNIT_GEM	Gem
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_WON	%s Won
CHEQUE_SYSTEM_YANG	%s Yang
COMB_ALREADY_APPEND	Este item já foi seleccionado.
COMB_CANT_APPEND_ITEM	Este item não pode ser usado.
COMB_CANT_APPEND_SEALED_ITEM	Não podes usar quaisquer itens vinculados.
COMB_COST	Preço: %s
COMB_IS_CONTINUE_PROCESS	Queres continuar?
COMB_NOTICE	Não podes abrir uma loja privada enquanto estás a trocar livros.
COMB_NOTICE_NOT_OPEN	Não podes trocar livros enquanto tens uma loja privada aberta.
COMB_NOT_ALL_SLOT_APPEND_ITEM	Precisas de um item de origem e um de destino, além do item de transferência, para transferires bónus.
COMB_NOT_FULL_BOOK	Não, não podemos fazer negócio assim. Como já te disse, apenas aceito trocas se me ofereceres 10 livros.
COMB_NOT_ITEM_IN_INVENTORY	Não podes usar itens equipados.
COMB_NOT_MEDIUM_ITEM	Este item não pode ser usado.
COMB_WILL_REMOVE_MATERIAL	O item de origem será destruído com um sucesso.
CREATE_ERROR_GM_NAME	Não podes usar ,GM‘ no nome da tua personagem.
CREATE_ERROR_INSULT_NAME	Este nome é inválido.
CREATE_ERROR_LIMIT_LEVEL	A tua personagem tem de ser pelo menos nível 80.
CREATE_ERROR_TIME_LIMIT	Apenas podes criar uma personagem a cada 30 segundos.
CREATE_ERROR_WRONG_STRING	Este nome de personagem não é válido.
CREATE_EXIST_SAME_NAME	Já existe uma personagem com este nome.
CREATE_FAILURE	Não podes criar a personagem.
CREATE_FULL	Não podes criar mais personagens.
CREATE_GM_NAME	GM
CREATE_INPUT_NAME	Insere o nome.
CREATE_PLUS_STAT	Ainda sobram pontos de Atributo.
CUBE_CATEGORY_ACCESSORY	Joalharia
CUBE_CATEGORY_ARMOR	Armaduras
CUBE_CATEGORY_ARMOR_GLOVE	Luvas
CUBE_CATEGORY_BELT	Cintos
CUBE_CATEGORY_ETC	Etc.
CUBE_CATEGORY_EVENT	Evento
CUBE_CATEGORY_JOB	Classe
CUBE_CATEGORY_PET	Pet
CUBE_CATEGORY_SETADD_ARMOR	Criar armadura de conjunto
CUBE_CATEGORY_SETADD_HELMET	Criar elmo de conjunto
CUBE_CATEGORY_SETADD_WEAPON	Criar arma de conjunto
CUBE_CATEGORY_WEAPON	Armas
CUBE_CATEGOR_SKILL_BOOK	Livro de Habilidades
CUBE_LIST_TEXT_ITEM_INFO	%s ( %d%% )
CUBE_LIST_TEXT_MAKE_QUANTITY	[%d]
CUBE_MAKE_CONFIRM_QUESTION_1	Pelo menos um dos itens usados é altamente valioso (tem mais de %d bónus).
CUBE_MAKE_CONFIRM_QUESTION_2	Queres mesmo continuar?
CUBE_NOT_ENOUGH_GEM	Não tens Gaya suficiente.
CUBE_NOT_ENOUGH_GOLD	Yang insuficiente para criação.
CUBE_NOT_ENOUGH_MATERIAL	Material insuficiente para a criação.
CUBE_PLEASE_SELECT	Não foram seleccionados itens.
CUBE_TOOLTIP_PASSIVE_JOB_LEFT_TIME	Tempo restante: {0} - {1} horas
CZ_REWARD_QUESTION_COMPLETE	Queres resgatar este espaço?
CZ_REWARD_TOOLTIP_10GAN	Insígnia do Zodíaco
CZ_REWARD_TOOLTIP_10GAN_COUNT	Quantidade no inventário
CZ_REWARD_TOOLTIP_10GAN_NEED_COUNT	Quantidade necessária
CZ_REWARD_TOOLTIP_12ZI	Insígnia do Guardião
CZ_REWARD_TOOLTIP_12ZI_COUNT	Quantidade no inventário
CZ_REWARD_TOOLTIP_12ZI_NEED_COUNT	Quantidade necessária
CZ_REWARD_TOOLTIP_ALL_BOX	Tesouro Astral
CZ_REWARD_TOOLTIP_CAN_GET_ALL_BOX	Clica aqui para recolheres o teu Tesouro Astral como recompensa.
CZ_REWARD_TOOLTIP_CAN_GET_GREEN_BOX	Clica aqui para recolheres o teu Tesouro Aventurino como recompensa.
CZ_REWARD_TOOLTIP_CAN_GET_YELLOW_BOX	Clica aqui para recolheres o teu Tesouro Aureolino como recompensa.
CZ_REWARD_TOOLTIP_COMPLETABLE	Resgatar
CZ_REWARD_TOOLTIP_GREEN_BOX	Tesouro Aventurino
CZ_REWARD_TOOLTIP_GREEN_BOX_COMP_CNT	Tesouros Aventurinos Resgatados: %d
CZ_REWARD_TOOLTIP_WEEKLY	Dia
CZ_REWARD_TOOLTIP_WEEKLY_FRI	Sexta-feira
CZ_REWARD_TOOLTIP_WEEKLY_MON	Segunda-feira
CZ_REWARD_TOOLTIP_WEEKLY_SAT	Sábado
CZ_REWARD_TOOLTIP_WEEKLY_SAT_SUN	Sábado/Domingo
CZ_REWARD_TOOLTIP_WEEKLY_THU	Quinta-feira
CZ_REWARD_TOOLTIP_WEEKLY_TUE	Terça-feira
CZ_REWARD_TOOLTIP_WEEKLY_WED	Quarta-feira
CZ_REWARD_TOOLTIP_YELLOW_BOX	Tesouro Aureolino
CZ_REWARD_TOOLTIP_YELLOW_BOX_COMP_CNT	Tesouros Aureolinos Resgatados: %d
DAY	d
DETAILS_1	Fza. c. mediohumanos
DETAILS_2	Res. a mediohumanos
DETAILS_3	Fuerza contra orcos
DETAILS_4	Fza. c. muertos viv.
DETAILS_5	Fuerza c. monstruos
DETAILS_6	Fza. c. mon. zodíaco
DETAILS_7	Fuerza c. animales
DETAILS_8	Fuerza c. esotéricos
DETAILS_9	Fuerza c. demonios
DETAILS_10	Fza. c. mon. desier.
DETAILS_11	Fuerza c. insectos
DETAILS_12	Valor de ataque
DETAILS_13	Valor de defensa
DETAILS_14	Daño medio
DETAILS_15	Res. a daño medio
DETAILS_16	Daño de habilidad
DETAILS_17	Resist. daño de habilidad
DETAILS_18	At. mág./cpo. a cpo.
DETAILS_19	Ataque mágico
DETAILS_20	Prob. golpe crítico
DETAILS_21	Golpe perforador
DETAILS_22	Res. a golpe crítico
DETAILS_23	Res. a golpe perf.
DETAILS_24	Res. a relámpago
DETAILS_25	Resistencia a hielo
DETAILS_26	Res. a oscuridad
DETAILS_27	Resistencia a fuego
DETAILS_28	Resistencia a viento
DETAILS_29	Resistencia a tierra
DETAILS_30	Poder del relámpago
DETAILS_31	Poder del hielo
DETAILS_32	Poder de oscuridad
DETAILS_33	Poder del fuego
DETAILS_34	Poder del viento
DETAILS_35	Poder de la tierra
DETAILS_36	Fza. c. Guerreros
DETAILS_37	Fuerza contra Ninjas
DETAILS_38	Fuerza contra Suras
DETAILS_39	Fuerza c. Chamanes
DETAILS_40	Fuerza c. Lícanos
DETAILS_41	Defensa c. Guerreros
DETAILS_42	Defensa c. Ninjas
DETAILS_43	Defensa contra Suras
DETAILS_44	Defensa c. Chamanes
DETAILS_45	Defensa c. Lícanos
DETAILS_46	Defensa c. espadas
DETAILS_47	Defensa c. dos manos
DETAILS_48	Defensa contra dagas
DETAILS_49	Defensa c. garras
DETAILS_50	Defensa c. campanas
DETAILS_51	Defensa c. abanicos
DETAILS_52	Defensa c. flechas
DETAILS_53	Probabilidad desmayo
DETAILS_54	Probabilidad retardo
DETAILS_55	Prob. envenenamiento
DETAILS_56	Resistencia a veneno
DETAILS_57	Ataque de sangrado
DETAILS_58	Res. a at. sangrado
DETAILS_59	Robo de vida
DETAILS_60	Robo de SP
DETAILS_61	Restauración de HP
DETAILS_62	Restauración de SP
DETAILS_63	Bloquear ataque
DETAILS_64	Evasión de flechas
DETAILS_65	Reflec. cpo. a cpo.
DETAILS_66	Restau. HP al matar
DETAILS_67	Restau. SP al matar
DETAILS_68	EXP doble
DETAILS_69	Yang doble
DETAILS_70	Probabilidad botín
DETAILS_71	Valor de ataque
DETAILS_72	Defensa
DETAILS_73	EXP
DETAILS_74	Probabilidad botín
DETAILS_75	Yang doble
DETAILS_76	Resistencia a magia
DETAILS_77	Rompemagia
DETAILS_80	Fuerza vs. Metin
DETAILS_81	Fuerza c. jefes
DETAILS_ATTBONUS_BELL	Fractura de campana
DETAILS_ATTBONUS_BOW	Fractura de flecha
DETAILS_ATTBONUS_CLAW	Fractura de garra
DETAILS_ATTBONUS_DAGGER	Fractura de daga
DETAILS_ATTBONUS_FAN	Fractura de abanico
DETAILS_ATTBONUS_SWORD	Fractura de espada
DETAILS_ATTBONUS_TWOHAND	Fractura de arma a dos manos
DETAILS_CATE_1	Daño/Defensa
DETAILS_CATE_2	Boni. elementales
DETAILS_CATE_3	Boni. de clase
DETAILS_CATE_4	Boni. de arma
DETAILS_CATE_5	Otras bonificaciones
DETAILS_CATE_6	Boni. especiales
DETAILS_RESIST_MOUNT_FALL	Resistencia contra caída
DETAILS_TITLE	Detalles
DETAILS_TOOLTIP_1	Fuerza contra mediohumanos: provoca más daños a mediohumanos.
DETAILS_TOOLTIP_10	Fuerte contra monstruos del desierto: causa más daño a monstruos del desierto.
DETAILS_TOOLTIP_11	Fuerte contra insectos: causa más daño a insectos.
DETAILS_TOOLTIP_12	Aumenta tu valor de ataque.
DETAILS_TOOLTIP_13	Aumenta tu valor de defensa.
DETAILS_TOOLTIP_14	Aumenta el daño medio que provocas en tus enemigos al atacar.
DETAILS_TOOLTIP_15	Resistencia contra daño medio: reduce el daño que sufres con un ataque.
DETAILS_TOOLTIP_16	Aumenta el daño que provoca una habilidad.
DETAILS_TOOLTIP_17	Resistencia contra daño de habilidad: reduce el daño que te provoca una habilidad.
DETAILS_TOOLTIP_18	Aumentan tanto el valor de ataque físico como el mágico.
DETAILS_TOOLTIP_19	Aumenta el daño que provocas a los enemigos con un ataque mágico.
DETAILS_TOOLTIP_2	Resistencia contra mediohumanos: reduce el daño que se sufre de mediohumanos.
DETAILS_TOOLTIP_20	Aumenta la probabilidad de lograr un golpe crítico.
DETAILS_TOOLTIP_21	Probabilidad de golpe penetrante: aumenta la probabilidad de provocar un golpe penetrante.
DETAILS_TOOLTIP_22	Resistencia contra golpe crítico: reduce el daño que provoca un golpe crítico.
DETAILS_TOOLTIP_23	Resistencia contra golpe penetrante: reduce el daño que provoca un golpe penetrante.
DETAILS_TOOLTIP_24	Reduce el daño que se sufre de determinados monstruos.
DETAILS_TOOLTIP_25	Reduce el daño que se sufre de determinados monstruos.
DETAILS_TOOLTIP_26	Resistencia contra la oscuridad: reduce el daño que se sufre de determinados monstruos.
DETAILS_TOOLTIP_27	Reduce el daño que se sufre de determinados monstruos.
DETAILS_TOOLTIP_28	Reduce el daño que se sufre de determinados monstruos.
DETAILS_TOOLTIP_29	Reduce el daño que se sufre de determinados monstruos.
DETAILS_TOOLTIP_3	Fuerza contra orcos: causa más daño a orcos.
DETAILS_TOOLTIP_30	Aumenta el daño que causas gracias al poder del relámpago.
DETAILS_TOOLTIP_31	Aumenta el daño que causas gracias al poder del hielo.
DETAILS_TOOLTIP_32	Aumenta el daño que causas gracias al poder de la oscuridad.
DETAILS_TOOLTIP_33	Aumenta el daño que causas gracias al poder del fuego.
DETAILS_TOOLTIP_34	Aumenta el daño que causas gracias al poder del viento.
DETAILS_TOOLTIP_35	Aumenta el daño que causas gracias al poder de la tierra.
DETAILS_TOOLTIP_36	Fuerza contra Guerreros: causa más daño a Guerreros.
DETAILS_TOOLTIP_37	Fuerza contra Ninjas: causa más daño a Ninjas.
DETAILS_TOOLTIP_38	Fuerza contra Suras: causa más daño a Suras.
DETAILS_TOOLTIP_39	Fuerza contra Chamanes: causa más daño a Chamanes.
DETAILS_TOOLTIP_4	Fuerza contra muertos vivientes: causa más daño a muertos vivientes.
DETAILS_TOOLTIP_40	Fuerza contra Lícanos: causa más daño a Lícanos.
DETAILS_TOOLTIP_41	Probabilidad de defensa contra ataques de Guerreros: reduce el daño que se sufre por parte de Guerreros.
DETAILS_TOOLTIP_42	Probabilidad de defensa contra ataques de Ninjas: reduce el daño que se sufre por parte de Ninjas.
DETAILS_TOOLTIP_43	Probabilidad de defensa contra ataques de Suras: reduce el daño que se sufre por parte de Suras.
